Date,Price_DayAhead,Load_Forecast,Solar,Wind_Offshore,Wind_Onshore
2018-10-11 09:00:00+02:00,59.8,67143.73,7004.87,4047.8,14038.55
2018-10-11 10:00:00+02:00,49.21,68483.79,13306.2,3906.87,10783.71
2018-10-11 11:00:00+02:00,48.61,69084.05,17950.81,3729.68,8330.58
2018-10-11 12:00:00+02:00,47.02,68518.55,20409.02,3475.9,7853.0
2018-10-11 13:00:00+02:00,46.9,68173.93,20753.45,3212.6,7665.53
2018-10-11 14:00:00+02:00,49.25,66987.39,19261.18,3027.0,7246.96
2018-10-11 15:00:00+02:00,59.95,66832.48,16105.73,2868.85,7006.01
2018-10-11 16:00:00+02:00,65.06,64771.68,11347.82,2803.55,7040.87
2018-10-11 17:00:00+02:00,72.85,63757.74,5546.18,2832.65,7246.84
2018-10-11 18:00:00+02:00,81.3,64022.95,819.81,2941.18,8512.6
2018-10-11 19:00:00+02:00,88.5,66109.46,0.0,3022.15,10559.74
2018-10-11 20:00:00+02:00,76.34,64898.77,0.0,3109.43,12195.65
2018-10-11 21:00:00+02:00,58.62,60900.46,0.0,3138.47,12509.4
2018-10-11 22:00:00+02:00,52.04,58150.57,0.0,3181.01,12246.71
2018-10-11 23:00:00+02:00,47.86,53576.38,0.0,3177.81,11925.94
2018-10-12 00:00:00+02:00,45.85,51201.89,0.0,2814.07,12654.84
2018-10-12 01:00:00+02:00,45.88,48964.08,0.0,2852.84,12015.55
2018-10-12 02:00:00+02:00,45.6,47398.68,0.0,2928.08,11500.52
2018-10-12 03:00:00+02:00,45.64,47485.07,0.0,3067.91,11007.24
2018-10-12 04:00:00+02:00,45.8,48575.35,0.0,3139.64,10578.41
2018-10-12 05:00:00+02:00,49.64,50825.44,0.0,3209.94,10286.94
2018-10-12 06:00:00+02:00,56.65,56451.79,0.0,3228.77,10162.56
2018-10-12 07:00:00+02:00,69.87,63910.57,6.6,3219.76,10392.78
2018-10-12 08:00:00+02:00,71.47,66932.17,1217.84,3239.27,10215.6
2018-10-12 09:00:00+02:00,69.71,67487.17,6200.84,3297.28,9014.87
2018-10-12 10:00:00+02:00,69.52,68289.29,11853.12,3454.23,6399.73
2018-10-12 11:00:00+02:00,61.95,69037.09,16470.6,3466.35,4569.87
2018-10-12 12:00:00+02:00,49.25,68170.6,19418.92,3370.45,4339.06
2018-10-12 13:00:00+02:00,48.75,67405.56,20281.27,3272.51,4972.31
2018-10-12 14:00:00+02:00,47.84,65822.5,19273.23,3180.9,5221.72
2018-10-12 15:00:00+02:00,53.32,65550.94,16446.3,3100.57,5137.96
2018-10-12 16:00:00+02:00,56.95,63724.91,11708.08,3056.87,4923.79
2018-10-12 17:00:00+02:00,67.32,62919.75,5718.01,3122.14,4667.1
2018-10-12 18:00:00+02:00,69.94,63132.29,797.38,3549.05,5318.99
2018-10-12 19:00:00+02:00,79.08,65288.33,0.0,3995.55,7073.2
2018-10-12 20:00:00+02:00,65.0,63893.53,0.0,4344.84,9467.56
2018-10-12 21:00:00+02:00,53.58,59800.97,0.0,4305.15,10763.83
2018-10-12 22:00:00+02:00,50.0,57563.37,0.0,4383.08,11444.8
2018-10-12 23:00:00+02:00,43.88,53486.98,0.0,4439.76,11812.3
2018-10-13 00:00:00+02:00,47.8,48629.09,0.0,4293.63,13624.61
2018-10-13 01:00:00+02:00,43.97,46151.28,0.0,4247.07,13032.36
2018-10-13 02:00:00+02:00,42.08,44435.52,0.0,4184.38,12481.84
2018-10-13 03:00:00+02:00,39.14,44000.69,0.0,4159.66,11942.25
2018-10-13 04:00:00+02:00,42.74,44212.4,0.0,4153.7,11476.58
2018-10-13 05:00:00+02:00,43.91,44598.01,0.0,4127.92,11204.79
2018-10-13 06:00:00+02:00,48.34,45258.36,0.0,4124.03,11033.57
2018-10-13 07:00:00+02:00,58.18,47995.75,7.2,4112.72,11031.34
2018-10-13 08:00:00+02:00,62.9,52200.9,1286.48,4228.96,10653.39
2018-10-13 09:00:00+02:00,62.43,54851.38,6784.84,4266.69,9824.8
2018-10-13 10:00:00+02:00,52.55,57107.64,12917.36,4261.86,7542.8
2018-10-13 11:00:00+02:00,44.05,58061.37,17667.91,4248.65,5211.67
2018-10-13 12:00:00+02:00,37.4,57743.78,20511.62,4193.12,5019.47
2018-10-13 13:00:00+02:00,34.1,55923.34,21299.9,4096.56,6115.96
2018-10-13 14:00:00+02:00,31.95,54608.15,20156.93,4019.91,6950.27
2018-10-13 15:00:00+02:00,37.42,54416.98,17198.27,4022.92,7452.42
2018-10-13 16:00:00+02:00,50.23,53470.46,12269.63,4053.45,7546.02
2018-10-13 17:00:00+02:00,60.46,53709.79,5929.63,4138.84,8152.44
2018-10-13 18:00:00+02:00,64.54,54414.01,800.3,4316.99,10567.56
2018-10-13 19:00:00+02:00,55.85,56828.1,0.0,4446.01,14464.69
2018-10-13 20:00:00+02:00,40.59,55508.35,0.0,4625.35,16916.32
2018-10-13 21:00:00+02:00,31.52,52125.61,0.0,4762.44,17803.94
2018-10-13 22:00:00+02:00,24.72,51707.63,0.0,4728.78,17770.17
2018-10-13 23:00:00+02:00,20.29,48260.72,0.0,4763.45,17526.02
2018-10-14 00:00:00+02:00,20.76,44674.11,0.0,4570.65,16677.7
2018-10-14 01:00:00+02:00,21.44,42660.85,0.0,4481.71,16092.1
2018-10-14 02:00:00+02:00,20.89,41250.77,0.0,4483.98,15416.48
2018-10-14 03:00:00+02:00,19.52,40656.57,0.0,4304.31,14712.43
2018-10-14 04:00:00+02:00,20.72,41186.85,0.0,4129.6,14311.76
2018-10-14 05:00:00+02:00,20.79,41190.38,0.0,3938.48,14222.42
2018-10-14 06:00:00+02:00,22.07,41183.17,0.0,3748.0,14213.68
2018-10-14 07:00:00+02:00,25.86,42996.48,6.9,3570.4,14050.95
2018-10-14 08:00:00+02:00,27.69,46547.98,1254.61,3463.41,13893.02
2018-10-14 09:00:00+02:00,26.71,49259.17,6936.45,3377.04,12607.83
2018-10-14 10:00:00+02:00,26.94,51595.83,13147.31,3283.25,10189.92
2018-10-14 11:00:00+02:00,25.76,53374.73,17901.5,3203.18,8874.42
2018-10-14 12:00:00+02:00,20.73,53886.71,20783.19,3135.83,9288.63
2018-10-14 13:00:00+02:00,20.75,52069.53,21537.07,3166.23,10071.66
2018-10-14 14:00:00+02:00,13.92,50468.21,20317.34,3248.82,10983.94
2018-10-14 15:00:00+02:00,19.54,50076.26,17236.62,3471.54,11920.72
2018-10-14 16:00:00+02:00,20.74,49543.19,12188.17,3751.36,12420.64
2018-10-14 17:00:00+02:00,42.82,50297.16,5726.72,3922.68,12731.63
2018-10-14 18:00:00+02:00,56.56,52177.12,698.89,4023.01,13618.12
2018-10-14 19:00:00+02:00,68.09,54802.73,0.0,4105.88,15556.06
2018-10-14 20:00:00+02:00,40.54,54088.31,0.0,4140.74,17324.33
2018-10-14 21:00:00+02:00,32.9,50887.89,0.0,4139.27,17336.46
2018-10-14 22:00:00+02:00,31.32,50920.64,0.0,3971.87,16958.51
2018-10-14 23:00:00+02:00,27.0,47944.55,0.0,3733.58,16426.97
2018-10-15 00:00:00+02:00,34.93,45004.74,0.0,2657.51,13669.97
2018-10-15 01:00:00+02:00,30.86,43396.31,0.0,2527.53,12732.15
2018-10-15 02:00:00+02:00,29.05,42371.84,0.0,2268.19,11985.98
2018-10-15 03:00:00+02:00,30.06,42541.96,0.0,1931.8,11400.04
2018-10-15 04:00:00+02:00,33.0,43753.15,0.0,1655.14,10741.12
2018-10-15 05:00:00+02:00,42.0,46916.33,0.0,1417.76,10226.53
2018-10-15 06:00:00+02:00,60.02,54593.48,0.0,1280.38,10006.46
2018-10-15 07:00:00+02:00,79.38,62667.6,5.7,1220.43,9703.24
2018-10-15 08:00:00+02:00,79.05,66301.94,1130.92,1231.04,9332.08
2018-10-15 09:00:00+02:00,74.72,66770.83,6688.19,1239.83,7986.09
2018-10-15 10:00:00+02:00,62.39,68112.94,12922.32,1241.16,5193.51
2018-10-15 11:00:00+02:00,52.89,68983.19,17650.71,1241.78,3088.24
2018-10-15 12:00:00+02:00,48.52,67817.81,20398.23,1181.57,2960.34
2018-10-15 13:00:00+02:00,49.82,67843.89,21048.84,1097.0,2938.57
2018-10-15 14:00:00+02:00,51.45,66743.37,19730.88,1031.37,2787.81
2018-10-15 15:00:00+02:00,55.26,65607.72,16614.22,985.53,2703.18
2018-10-15 16:00:00+02:00,71.86,63799.09,11661.63,943.65,2511.73
2018-10-15 17:00:00+02:00,80.28,63926.94,5406.85,926.24,2383.73
2018-10-15 18:00:00+02:00,90.0,63999.21,616.78,947.01,2884.08
2018-10-15 19:00:00+02:00,107.32,65434.1,0.0,1007.18,3875.75
2018-10-15 20:00:00+02:00,75.31,64350.91,0.0,1103.37,4712.02
2018-10-15 21:00:00+02:00,70.49,60644.49,0.0,1160.51,4909.85
